"","ph","Hardness","Solids","Chloramines","Sulfate","Conductivity","Organic_carbon","Trihalomethanes","Turbidity","Potability"
"4",8.31676588421468,214.373394085623,22018.4174407753,8.05933237743854,356.886135643057,363.266516164244,18.4365244954933,100.34167436508,4.62877053683708,0
"5",9.09222345629096,181.101509236125,17978.9863389263,6.54659997420794,310.135737524204,398.410813381845,11.5582794434464,31.9979927274247,4.07507542543003,0
"6",5.58408663845609,188.313323769616,28748.6877390461,7.54486878877965,326.678362911674,280.467915933488,8.39973464015276,54.9178618419945,2.55970822755652,0
"7",10.2238621645288,248.07173527014,28749.7165435282,7.5134084658313,393.663395515096,283.651633507845,13.7896953175199,84.6035561740236,2.67298873693478,0
"8",8.63584871850073,203.361522584571,13672.0917639016,4.5630086855997,303.309771159281,474.607644942449,12.3638166987053,62.7983089629252,4.40142471544548,0
"10",11.1802844707216,227.231469237975,25484.5084909879,9.07720001691439,404.04163468409,563.885481481095,17.927806411285,71.9766010322192,4.3705619366555,0
"11",7.36064010583826,165.520797259529,32452.6144091439,7.55070090670411,326.624353455602,425.383419495387,15.5868104380331,78.7400156643048,3.66229178285246,0
"13",7.11982438426455,156.704993340392,18730.8136533427,3.60603609050572,282.344050473961,347.715027261944,15.9295359088257,79.5007783369744,3.4457562233219,0
"16",6.34727176053932,186.732880660576,41065.2347645394,9.62959627648058,364.48768724676,516.743281893657,11.5397811915394,75.0716172866378,4.3763482906919,0
"18",9.18156000715154,273.813806659801,24041.3262800613,6.9049897264701,398.350516822278,477.974641862178,13.3873407802255,71.4573622129516,4.50366079617912,0
"20",7.37105030242953,214.496610457157,25630.3200369997,4.43266929037212,335.754438596065,469.914551479236,12.5091639404987,62.7972771526613,2.56029914761491,0
"22",6.6602120261181,168.283746856518,30944.3635912427,5.85876913054758,310.930858317878,523.671297500944,17.8842351929648,77.0423180517003,3.74970124109962,0
"25",5.40030178072947,140.73906225114,17266.5934219231,10.0568524840335,328.358240698684,472.874073275429,11.2563811669095,56.9319064457562,4.82478638976752,0
"26",6.51441509325168,198.767351259456,21218.7028711902,8.67093691991312,323.596349010132,413.290450088535,14.899999566697,79.8478428137256,5.20088507653976,0
"27",3.44506186438521,207.926260187994,33424.7686784948,8.78214748077349,384.007005801721,441.785875673939,13.8059022112708,30.2845971980027,4.18439696902885,0
"31",7.18144858082917,209.62560053629,15196.2299874838,5.99467864644997,338.336431077487,342.111286285193,7.92259833302262,71.5379532557936,5.0888599891388,0
"33",10.4332909828044,117.791229550397,22326.8920457187,8.16150481072833,307.707508611824,412.986833790332,12.8907085645118,65.7334783893828,5.05731051651573,0
"34",7.41414819633624,235.044534487371,32555.8525370737,6.8459520238449,387.175316477357,411.983364167012,10.2448150683598,44.4892972522603,3.16062446823264,0
"36",5.11581706377122,191.952742974859,19620.5453286122,6.06071299498933,323.83638391363,441.748379324869,10.9664861529535,49.2382313227357,3.90208876764375,0
